timestamp,us_index,US-East,US-Central,US-West
2025-10-24T20:00:27.593165+00:00,3.4074,6.7422,2.5538,2.8355
2025-10-24T20:07:43.650863+00:00,2.9601,6.7422,2.2902,2.8355
2025-10-24T20:27:32.947181+00:00,3.1691,6.7422,2.552,2.3722
2025-10-24T20:44:19.014866+00:00,3.0692,6.7422,2.5061,2.8355
2025-10-24T21:23:33.984857+00:00,2.7218,6.7422,2.0845,2.8355
2025-10-24T22:23:50.422081+00:00,2.7072,6.7422,2.0905,2.8355
2025-10-24T23:21:20.933230+00:00,2.7446,6.7422,2.1519,2.8355
2025-10-25T01:47:00.430419+00:00,2.6849,6.7422,2.1532,2.8355
2025-10-25T03:07:43.416652+00:00,2.7187,6.7422,2.138,2.8355
2025-10-25T03:41:10.967360+00:00,2.7182,6.7422,2.1609,2.8355
2025-10-25T04:27:44.671364+00:00,2.9073,6.7422,2.4928,2.3722
2025-10-25T05:24:08.075001+00:00,2.858,6.7422,2.2569,2.8355
2025-10-25T06:33:22.420695+00:00,2.9984,6.7422,2.4715,2.8355
2025-10-25T07:23:04.608658+00:00,2.7484,6.7422,2.202,2.8355
2025-10-25T08:29:50.462303+00:00,2.6917,6.7422,2.179,2.3722
2025-10-25T09:22:35.926240+00:00,2.6684,6.7422,2.1892,2.3722
2025-10-25T10:23:50.992442+00:00,2.6677,6.7422,2.1894,2.3722
2025-10-25T11:19:42.125248+00:00,3.0054,6.7422,2.5187,2.8355
2025-10-25T12:43:02.600831+00:00,2.6781,6.7422,2.1366,2.8355
2025-10-25T13:28:03.480238+00:00,2.764,6.7422,2.2398,2.8355
2025-10-25T14:20:50.780975+00:00,3.0231,6.7422,2.5825,2.3722
2025-10-25T15:23:20.689040+00:00,2.7151,6.7422,2.1979,2.3722
2025-10-25T16:28:45.137528+00:00,2.817,6.7422,2.2244,2.8355
2025-10-25T17:21:31.849172+00:00,2.7031,6.7422,2.1978,2.3722
2025-10-25T18:31:46.435636+00:00,2.8198,6.7422,2.2452,2.8355
2025-10-25T19:20:31.711145+00:00,2.667,6.7422,2.1592,2.3722
2025-10-25T20:26:21.302336+00:00,2.764,6.7422,2.2422,2.3722
2025-10-25T21:20:58.415227+00:00,2.6662,6.7422,2.1578,2.3722
2025-10-25T22:22:15.431339+00:00,2.7012,6.7422,2.2393,2.3722
2025-10-25T23:20:38.020618+00:00,2.6825,6.7422,2.1329,2.8355
2025-10-26T01:53:53.887201+00:00,2.9456,6.7422,2.3145,2.8355
2025-10-26T03:16:14.399942+00:00,2.97,6.7422,2.556,2.3722
2025-10-26T04:29:24.241846+00:00,2.9869,6.7422,2.5311,2.8355
2025-10-26T05:23:17.556173+00:00,3.0288,6.7422,2.5344,2.8355
2025-10-26T06:34:57.214441+00:00,3.0057,6.7422,2.5186,2.8355
2025-10-26T07:22:48.014705+00:00,2.7467,6.7422,2.2245,2.8355
2025-10-26T08:33:30.463349+00:00,3.0242,6.7422,2.5347,2.8355
2025-10-26T09:22:13.760868+00:00,2.9315,6.7422,2.5233,2.3722
2025-10-26T10:23:48.438219+00:00,2.6831,6.7422,2.2259,2.3722
2025-10-26T11:18:37.416968+00:00,2.9048,6.7422,2.4924,2.3722
2025-10-26T12:45:19.187196+00:00,3.0009,6.7422,2.5926,2.3722
2025-10-26T13:29:29.676465+00:00,3.411,6.7422,2.4713,6.1571
2025-10-26T14:21:25.037158+00:00,3.0717,6.7422,2.539,2.8355
2025-10-26T15:24:02.782319+00:00,3.1447,6.7422,2.5656,2.8355
2025-10-26T16:27:23.666378+00:00,3.0479,6.7422,2.4876,2.8355
2025-10-26T17:20:09.625093+00:00,3.0006,6.7422,2.2885,2.8355
2025-10-26T18:31:51.732045+00:00,2.7563,6.7422,2.2317,2.3722
2025-10-26T19:20:34.731139+00:00,2.9579,6.7422,2.456,2.3722
2025-10-26T20:26:43.742634+00:00,3.136,6.7422,2.5691,2.3722
2025-10-26T21:22:19.979835+00:00,3.2405,6.7422,2.4968,2.7886
2025-10-26T22:25:09.487506+00:00,2.8068,6.7422,2.2602,2.3722
2025-10-26T23:22:16.320326+00:00,2.8514,6.7422,2.2692,2.8355
2025-10-27T01:57:45.815564+00:00,2.6644,6.7422,2.1102,2.3722
2025-10-27T03:26:17.508868+00:00,3.1398,6.7422,2.5661,2.8355
2025-10-27T04:34:08.692408+00:00,3.0057,6.7422,2.5186,2.8355
2025-10-27T05:27:07.021341+00:00,3.0101,6.7422,2.4873,2.8355
2025-10-27T06:38:59.289190+00:00,2.7338,6.7422,2.1569,2.8355
2025-10-27T07:26:08.502461+00:00,2.9876,6.7422,2.5443,2.3722
2025-10-27T08:33:29.776355+00:00,3.1002,6.7422,2.2474,6.1571
2025-10-27T09:30:37.032335+00:00,3.0626,6.7422,2.5687,2.8355
2025-10-27T10:29:11.574494+00:00,3.6273,6.7422,2.566,6.1571
2025-10-27T11:23:05.783926+00:00,3.0469,6.7422,2.5282,2.7886
2025-10-27T12:52:55.452176+00:00,3.5994,6.7422,2.4936,6.1571
2025-10-27T13:35:41.014565+00:00,3.2344,6.7422,2.1559,6.1571
2025-10-27T14:26:19.629365+00:00,2.7495,6.7422,2.1732,2.8355
2025-10-27T15:28:03.130845+00:00,2.685,6.3947,1.8176,6.1571
2025-10-27T16:32:27.452101+00:00,2.6872,6.3947,2.1303,2.7886
2025-10-27T17:21:47.118929+00:00,2.981,6.3947,2.2636,2.7886
2025-10-27T18:36:59.985295+00:00,3.1447,6.7422,2.4783,2.7886
2025-10-27T19:21:22.336529+00:00,3.4539,6.7422,2.2916,6.1571
2025-10-27T20:26:56.618834+00:00,2.7751,6.3947,1.7413,6.1571
2025-10-27T21:23:10.723788+00:00,3.5281,6.3947,2.5825,6.1571
2025-10-27T22:23:47.528970+00:00,2.6642,6.7422,2.1604,2.3722
2025-10-27T23:21:42.567713+00:00,3.0372,6.7422,2.5487,2.9137
2025-10-28T01:59:20.561643+00:00,3.0963,6.7422,2.6197,2.7886
2025-10-28T03:13:46.957590+00:00,3.564,6.7422,2.5772,6.1571
2025-10-28T04:29:28.644609+00:00,3.3613,6.7422,2.4883,6.1571
2025-10-28T05:24:46.361854+00:00,2.6812,6.7422,2.1902,2.8355
2025-10-28T06:38:33.221991+00:00,3.0563,6.7422,2.5481,2.8355
2025-10-28T07:24:01.765450+00:00,2.9315,6.7422,2.5233,2.3722
2025-10-28T08:33:25.259767+00:00,3.1729,6.7422,2.254,6.1571
2025-10-28T09:27:17.129798+00:00,3.0895,6.7422,2.5991,2.7886
2025-10-28T10:29:22.940148+00:00,3.4741,6.3947,2.5215,6.1571
2025-10-28T11:20:21.162335+00:00,3.4086,6.7422,2.5186,6.1571
2025-10-28T12:51:09.902496+00:00,3.1724,6.7422,2.2542,6.1571
2025-10-28T13:35:31.212710+00:00,2.8366,6.7422,2.2425,2.7886
2025-10-28T14:25:52.392850+00:00,2.5523,6.7422,1.7603,6.1571
2025-10-28T15:28:26.701296+00:00,3.4281,6.3947,2.5346,6.1571
2025-10-28T16:33:28.932582+00:00,2.8351,6.7422,2.2626,2.8355
2025-10-28T17:24:43.888184+00:00,3.3252,6.3947,2.2809,6.1571
2025-10-28T18:37:37.952952+00:00,3.4355,6.3947,2.4872,6.1571
2025-10-28T19:22:00.959411+00:00,2.79,6.7422,2.2351,2.3722
2025-10-28T20:28:46.968385+00:00,2.7619,6.3947,1.7393,6.1571
2025-10-28T21:24:14.852053+00:00,2.8833,6.7422,2.2968,2.8355
2025-10-28T22:24:21.411540+00:00,3.1433,6.7422,2.1783,6.1571
2025-10-28T23:24:28.556469+00:00,3.4728,6.3947,2.5217,6.1571
2025-10-29T01:54:33.898353+00:00,3.018,6.7422,2.5522,2.7886
2025-10-29T03:20:15.291404+00:00,2.7455,6.7422,2.2228,2.7886
2025-10-29T04:31:41.223672+00:00,3.0643,6.7422,2.5584,2.7886
2025-10-29T05:25:25.466405+00:00,3.1976,6.7422,2.2332,6.1571
2025-10-29T06:39:03.198007+00:00,2.9236,6.7422,2.4794,2.7886
2025-10-29T07:24:54.163621+00:00,3.1486,6.7422,2.6028,2.7886
2025-10-29T08:35:26.181225+00:00,3.5094,6.7422,2.5865,6.1571
2025-10-29T09:27:49.992897+00:00,3.4316,6.7422,2.5785,6.1571
2025-10-29T10:27:53.681479+00:00,2.8347,6.7422,2.2628,2.8355
2025-10-29T11:21:41.426098+00:00,3.0062,6.7422,2.5965,2.3722
2025-10-29T12:52:03.397195+00:00,3.0583,6.7422,2.5316,2.7886
2025-10-29T13:38:26.901874+00:00,3.4302,6.7422,2.5402,6.1571
2025-10-29T14:28:10.679867+00:00,3.1989,6.7422,2.5655,2.7886
2025-10-29T15:28:34.845599+00:00,3.0733,6.7422,2.5445,2.7886
2025-10-29T16:40:13.828397+00:00,2.6023,2.7882,2.537,2.9291
2025-10-29T17:29:10.412905+00:00,2.6059,2.7882,2.5248,2.9291
2025-10-29T18:41:53.880121+00:00,1.904,2.7882,1.7661,2.2276
2025-10-29T19:22:54.018454+00:00,2.3216,2.7882,2.254,2.3853
2025-10-29T20:31:27.489163+00:00,2.5468,2.7882,2.5566,2.3722
2025-10-29T21:24:15.483522+00:00,3.4114,6.7422,2.5234,6.1571
2025-10-29T22:27:25.021192+00:00,3.0146,6.7422,2.4923,2.7886
2025-10-29T23:22:47.290472+00:00,2.8737,6.7422,2.2561,2.8355
2025-10-30T01:55:12.803107+00:00,2.8184,6.7422,2.2437,2.8355
2025-10-30T03:15:52.996080+00:00,3.1974,6.7422,2.6562,2.7886
2025-10-30T04:28:37.466673+00:00,2.9854,6.7422,2.5988,2.3722
2025-10-30T05:24:17.192243+00:00,2.7876,6.7422,2.2508,2.7886
2025-10-30T06:36:10.333152+00:00,3.5645,6.7422,2.6253,6.1571
2025-10-30T07:24:17.671598+00:00,3.0002,6.7422,2.5296,2.7886
2025-10-30T08:31:22.393958+00:00,3.1114,6.7422,2.2433,6.1571
2025-10-30T09:26:58.567764+00:00,3.2356,6.7422,2.2828,6.1571
2025-10-30T10:26:53.502985+00:00,3.4133,6.7422,2.5615,6.1571
2025-10-30T11:21:08.370722+00:00,2.975,6.7422,2.4608,2.7886
2025-10-30T12:52:02.843028+00:00,3.0445,6.7422,2.5828,2.7886
2025-10-30T13:35:09.777205+00:00,3.1012,6.7422,2.563,2.7886
2025-10-30T14:26:56.493754+00:00,3.167,6.7422,2.6248,2.7886
2025-10-30T15:31:23.163596+00:00,3.0367,6.7422,2.5143,2.7886
2025-10-30T16:38:33.306993+00:00,3.1271,6.7422,2.6251,2.8355
2025-10-30T17:22:18.941514+00:00,3.2006,6.7422,2.6517,2.7886
2025-10-30T18:35:37.424421+00:00,3.6085,6.7422,2.6029,6.1571
2025-10-30T19:21:55.664274+00:00,3.4723,6.7422,2.571,6.1571
2025-10-30T20:28:36.661309+00:00,3.6253,6.7422,2.619,6.1571
2025-10-30T21:23:21.206244+00:00,3.5878,6.7422,2.5993,6.1571
2025-10-30T22:25:07.422110+00:00,3.2348,6.7422,2.679,2.7886
2025-10-30T23:23:25.416367+00:00,3.5844,6.7422,2.6753,6.1571
2025-10-31T01:52:08.437915+00:00,2.7312,6.7422,2.209,2.8355
2025-10-31T03:15:13.322093+00:00,3.0264,6.7422,2.6102,2.3722
2025-10-31T04:29:57.333180+00:00,3.0842,6.7422,2.5864,2.8355
2025-10-31T05:25:34.423864+00:00,2.9247,6.7422,2.5125,2.3722
2025-10-31T06:37:19.156377+00:00,3.0175,6.7422,2.5279,2.7886
2025-10-31T07:24:18.248462+00:00,3.5652,6.7422,2.6251,6.1571
2025-10-31T08:31:50.162644+00:00,2.9869,6.7422,2.5785,2.3722
2025-10-31T09:26:42.802086+00:00,2.9895,6.7422,2.5142,2.7886
2025-10-31T10:26:16.189680+00:00,2.9188,6.7422,2.5406,2.3722
2025-10-31T11:21:03.544074+00:00,2.9596,6.7422,2.5108,2.7886
2025-10-31T12:49:28.589515+00:00,3.0769,6.7422,2.5499,2.7886
2025-10-31T13:35:25.678708+00:00,2.9826,6.7422,2.5124,2.8355
2025-10-31T14:25:28.225130+00:00,3.4291,6.3947,2.3125,6.1571
2025-10-31T15:25:50.337487+00:00,3.3837,6.7422,2.5323,6.1571
2025-10-31T16:30:51.324869+00:00,2.8841,6.7422,2.481,2.3722
2025-10-31T17:22:58.098218+00:00,3.037,6.7422,2.6047,2.3722
2025-10-31T18:34:48.584833+00:00,3.0606,6.7422,2.5196,2.7886
2025-10-31T19:19:38.044836+00:00,2.9856,6.7422,2.5662,2.3722
2025-10-31T20:28:46.678895+00:00,3.0151,6.7422,2.5399,2.8355
2025-10-31T21:20:08.326290+00:00,2.8862,6.7422,2.3018,2.8355
2025-10-31T22:23:12.383847+00:00,2.9627,6.7422,2.4948,2.8355
2025-10-31T23:23:46.803180+00:00,3.0206,6.7422,2.5111,2.8355
2025-11-01T01:56:04.333122+00:00,2.9841,6.7422,2.5331,2.8355
2025-11-01T03:17:57.731151+00:00,2.9687,6.7422,2.576,2.3722
2025-11-01T04:26:22.528404+00:00,2.9212,6.7422,2.5243,2.3722
2025-11-01T05:23:33.184920+00:00,2.9718,6.7422,2.5727,2.3722
